x1,x2,x3,x4,x5,x6,x7,x8
28.0,99.0,0.5,0.0,193.87992,22.094348260613568,4.2247836364726625,4.815368644201815
28.0,99.0,0.5,37.2,191.964864,21.79956900097574,4.2247190033326625,4.815368644201815
28.0,99.0,0.5,74.4,190.049808,21.54368596750564,4.224654370192662,4.815368644201815
28.0,99.0,0.5,111.6,188.134752,21.316515833634146,4.224589737052663,4.815368644201815
28.0,99.0,0.5,148.8,186.219696,21.11024715090879,4.224525103912662,4.815368644201815
28.0,99.0,0.5,186.0,184.30464,20.921517934620596,4.224460470772662,4.815368644201815
28.0,99.0,0.5,223.2,182.389584,20.746774733802223,4.224395837632662,4.815368644201815
28.0,99.0,0.5,260.4,180.47452800000002,20.584722864102538,4.224331204492662,4.815368644201815
28.0,99.0,0.5,297.6,178.559472,20.496964482105202,4.224266571352663,4.815368644201815
28.0,99.0,0.5,334.8,176.644416,20.840089897520425,4.224201938212663,4.815368644201815
28.0,99.0,0.5,372.0,174.72935999999999,21.185422538995542,4.224137305072663,4.815368644201815
28.0,99.0,0.5,409.2,172.814304,21.532065462808053,4.224072671932662,4.815368644201815
28.0,99.0,0.5,446.4,170.899248,21.879323344196877,4.224008038792662,4.815368644201815
28.0,99.0,0.5,483.6,168.98419199999998,22.225859568132517,4.223943405652663,4.815368644201815
28.0,99.0,0.5,520.8,167.069136,22.57167571896787,4.223878772512663,4.815368644201815
28.0,99.0,0.5,558.0,165.15408,22.915934601300332,4.223814139372663,4.815368644201815
28.0,99.0,0.6,0.0,193.87992,24.18268223561357,4.2247836364726625,4.815368644201815
28.0,99.0,0.6,37.2,191.964864,23.887902975975738,4.2247190033326625,4.815368644201815
28.0,99.0,0.6,74.4,190.049808,23.632019942505636,4.224654370192662,4.815368644201815
28.0,99.0,0.6,111.6,188.134752,23.404849808634143,4.224589737052663,4.815368644201815
28.0,99.0,0.6,148.8,186.219696,23.19858112590879,4.224525103912662,4.815368644201815
28.0,99.0,0.6,186.0,184.30464,23.009851909620597,4.224460470772662,4.815368644201815
28.0,99.0,0.6,223.2,182.389584,22.83510870880222,4.224395837632662,4.815368644201815
28.0,99.0,0.6,260.4,180.47452800000002,22.673056839102536,4.224331204492662,4.815368644201815
28.0,99.0,0.6,297.6,178.559472,22.591789005590048,4.224266571352663,4.815368644201815
28.0,99.0,0.6,334.8,176.644416,22.984713154255278,4.224201938212663,4.815368644201815
28.0,99.0,0.6,372.0,174.72935999999999,23.379844528980392,4.224137305072663,4.815368644201815
28.0,99.0,0.6,409.2,172.814304,23.776286186042896,4.224072671932662,4.815368644201815
28.0,99.0,0.6,446.4,170.899248,24.17334280068172,4.224008038792662,4.815368644201815
28.0,99.0,0.6,483.6,168.98419199999998,24.569677757867364,4.223943405652663,4.815368644201815
28.0,99.0,0.6,520.8,167.069136,24.965292641952722,4.223878772512663,4.815368644201815
28.0,99.0,0.6,558.0,165.15408,25.359350257535183,4.223814139372663,4.815368644201815
28.0,99.0,0.7,0.0,193.87992,26.271016210613574,4.2247836364726625,4.815368644201815
